Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
,301,99,2,2.5,2.7,8.55,0,0.48
,297,98,2,2.5,2.4,8.68,0,0.43
,302,103,4,4.1,3.8,9.39,0,0.49
,324,106,4,3.8,4.3,9.63,1,0.78
,300,99,2,2.2,2.3,8.52,0,0.46
,302,99,2,2.1,2.3,8.2,0,0.48
,302,107,4,4.5,4.4,9.62,0,0.5
,305,101,3,2.9,3.2,8.72,0,0.55
,302,96,1,1.6,2.0,8.06,1,0.46
,312,102,2,2.7,3.1,8.75,1,0.63
,321,110,4,4.5,4.6,9.6,0,0.76
,304,103,3,3.7,3.5,9.06,0,0.53
,295,99,3,4.0,3.6,9.54,0,0.39
,297,97,2,2.2,2.4,8.65,0,0.42
,297,101,3,3.9,3.5,9.34,0,0.42
,310,101,2,2.3,3.1,8.73,1,0.59
,324,108,4,3.8,4.3,9.53,1,0.77
,308,103,3,3.0,3.0,8.66,0,0.57
,325,105,4,4.0,4.4,9.7,1,0.79
,301,103,3,3.9,3.6,9.33,0,0.46
,317,104,3,3.2,3.6,9.08,1,0.7
,322,103,3,3.3,4.0,9.55,1,0.7
,310,103,3,2.9,3.1,8.68,0,0.59
,307,100,2,2.2,2.8,8.6,1,0.58
,320,103,3,3.4,4.0,9.53,1,0.71
,308,100,2,2.3,2.7,8.44,1,0.57
,298,97,1,1.8,1.9,8.1,0,0.44
,311,103,3,3.0,3.2,8.8,0,0.61
,318,104,3,2.9,3.8,9.24,1,0.68
,309,102,2,2.9,3.2,8.67,0,0.6
,315,103,3,3.0,3.4,8.89,1,0.66
,314,103,3,3.1,3.5,8.93,1,0.66
,317,101,2,2.8,3.8,9.45,1,0.65
,303,100,2,3.0,2.8,8.65,0,0.53
,305,102,3,3.2,3.2,8.88,0,0.54
,324,104,4,3.6,4.1,9.66,1,0.76
,300,98,1,1.9,2.1,8.13,0,0.46
,310,105,3,3.6,3.8,8.99,0,0.61
,311,101,2,2.7,3.4,8.83,1,0.66
,308,100,2,2.4,2.9,8.47,1,0.59
,331,108,5,4.4,4.7,9.82,1,0.85
,329,109,4,4.3,4.5,9.78,1,0.84
,294,100,4,4.5,4.0,9.71,0,0.38
,335,112,5,4.7,4.8,9.89,1,0.91
,313,102,3,3.0,3.6,9.07,1,0.64
,312,102,3,3.0,3.5,9.08,0,0.62
,336,105,4,4.5,4.9,9.91,1,0.87
,298,101,3,3.7,3.4,9.29,0,0.43
,302,100,2,2.6,2.7,8.58,0,0.48
,297,96,1,2.0,2.0,8.34,0,0.42
,307,103,3,3.5,3.8,9.14,0,0.54
,318,103,3,3.1,3.7,9.25,1,0.66
,314,104,3,3.1,3.4,8.76,1,0.65
,314,104,3,3.2,3.6,9.07,1,0.65
,310,98,2,2.2,3.1,8.99,1,0.56
,306,101,2,2.9,3.0,8.61,0,0.55
,300,102,3,4.0,3.7,9.35,0,0.47
,309,103,3,3.1,3.3,8.6,0,0.6
,307,103,3,3.1,3.3,8.81,0,0.57
,301,107,4,4.8,4.6,9.74,0,0.48
,314,103,3,2.8,3.3,8.83,1,0.67
,312,101,2,2.6,3.5,8.99,1,0.59
,306,103,3,3.8,3.8,9.07,0,0.54
,306,99,2,2.0,2.3,8.39,1,0.51
,307,101,2,2.7,3.1,8.65,0,0.59
,302,107,4,4.7,4.6,9.71,0,0.49
,308,100,2,2.3,2.6,8.26,1,0.55
,303,98,2,1.9,2.2,8.2,0,0.5
,310,100,2,2.5,3.1,8.63,1,0.6
,295,98,3,3.7,3.3,9.35,0,0.39
,308,105,4,3.9,3.9,9.26,0,0.56
,336,111,5,4.7,4.9,9.9,1,0.91
,293,97,2,3.6,3.1,9.45,0,0.37
,312,101,3,2.7,3.5,8.96,1,0.62
,318,104,3,3.3,3.8,9.26,1,0.7
,303,100,2,2.6,2.9,8.63,0,0.5
,330,106,4,4.1,4.6,9.84,1,0.82
,311,102,2,2.6,3.1,8.47,1,0.61
,303,104,3,4.1,4.0,9.34,0,0.51
,324,105,3,3.5,4.2,9.59,1,0.74
,329,107,4,4.2,4.6,9.8,1,0.84
,294,97,2,3.4,2.9,9.16,0,0.38
,295,98,2,3.4,3.0,9.26,0,0.39
,305,97,1,1.8,2.3,8.23,1,0.52
,309,100,2,2.5,2.9,8.45,1,0.58
,310,102,2,2.5,2.9,8.48,1,0.61
,314,103,3,3.2,3.7,9.02,1,0.69
,338,112,5,4.9,5.0,9.92,1,0.94
,304,104,3,3.8,3.8,9.15,0,0.53
,314,103,3,2.8,3.3,8.74,1,0.65
,297,101,3,3.9,3.5,9.4,0,0.43
,313,101,2,2.7,3.2,8.9,1,0.6
,302,109,5,4.9,4.8,9.8,0,0.48
,321,102,4,3.3,4.3,9.64,1,0.72
,307,102,3,3.1,3.3,8.75,0,0.59
,310,100,2,2.3,2.7,8.59,1,0.58
,311,99,2,2.2,3.1,8.82,1,0.57
,306,101,2,2.7,2.9,8.64,0,0.54
,312,102,3,3.2,3.6,8.9,1,0.64
,297,100,3,4.0,3.8,9.44,0,0.42
,309,102,2,2.7,3.1,8.77,1,0.61
,316,106,4,3.5,3.8,8.98,1,0.71
,303,101,2,2.9,3.1,8.71,0,0.51
,317,102,3,2.8,3.7,9.25,1,0.65
,306,102,3,3.5,3.7,8.94,0,0.56
,295,97,2,2.7,2.4,8.79,0,0.4
,323,106,4,3.8,4.1,9.53,1,0.75
,320,104,3,3.4,3.9,9.46,1,0.7
,307,100,2,2.2,2.8,8.34,1,0.55
,304,102,3,3.6,3.6,9.03,0,0.55
,294,99,3,4.2,3.8,9.63,0,0.38
,311,102,2,2.7,3.1,8.6,1,0.61
,319,106,4,3.4,3.7,9.09,1,0.72
,306,101,2,2.7,2.8,8.55,0,0.54
,314,103,3,3.0,3.3,8.67,1,0.65
,300,100,2,3.1,3.0,8.91,0,0.48
,313,104,3,3.0,3.3,8.78,1,0.65
,295,102,4,4.6,4.3,9.71,0,0.39
,312,103,3,3.0,3.5,8.95,0,0.62
,336,111,5,4.6,4.8,9.88,1,0.91
,317,106,3,3.5,3.7,9.13,1,0.71
,312,103,3,3.1,3.4,8.75,1,0.63
,328,110,5,4.3,4.5,9.69,1,0.84
,333,109,5,4.5,4.7,9.86,1,0.87
,295,103,4,4.7,4.5,9.8,0,0.39
,309,102,2,2.7,3.1,8.45,1,0.6
,338,111,5,4.8,5.0,9.92,1,0.94
,300,99,2,2.6,2.8,8.77,0,0.48
,315,104,3,3.2,3.6,8.86,1,0.67
,311,103,3,3.0,3.4,8.85,1,0.63
,326,107,4,3.9,4.2,9.61,1,0.78
,317,102,3,3.0,3.6,9.27,1,0.67
,298,99,2,3.1,3.0,8.89,0,0.45
,308,102,3,2.9,3.0,8.66,0,0.58
,305,99,2,2.0,2.4,8.19,1,0.52
,313,101,2,2.5,3.0,8.76,1,0.61
,306,102,3,3.2,3.3,8.87,0,0.55
,311,103,3,2.8,3.1,8.71,0,0.62
,309,103,3,3.1,3.2,8.72,0,0.59
,307,99,2,2.2,2.7,8.36,1,0.55
,307,98,2,2.0,3.0,8.55,1,0.53
,299,103,3,4.3,4.1,9.53,0,0.44
,301,99,2,2.4,2.5,8.41,0,0.48
,312,102,3,2.7,3.4,8.84,1,0.64
,328,106,4,4.0,4.5,9.79,1,0.8
,330,103,4,3.8,4.6,9.87,1,0.8
,316,103,3,3.1,3.6,9.12,1,0.7
,313,101,2,2.5,3.1,8.7,1,0.59
,323,102,3,3.0,4.1,9.62,1,0.71
,311,102,2,2.6,3.1,8.62,1,0.61
,301,102,3,3.8,3.6,9.25,0,0.48
,297,101,3,4.1,3.9,9.51,0,0.41
,311,103,3,2.9,3.1,8.54,0,0.62
,301,103,4,4.1,4.0,9.44,0,0.48
,301,101,2,3.2,3.0,8.89,0,0.47
,307,100,2,2.2,2.6,8.35,1,0.56
,312,100,2,2.4,3.1,8.91,1,0.58
,305,107,4,4.6,4.4,9.61,0,0.54
,303,104,3,4.0,3.9,9.29,0,0.51
,299,98,2,2.3,2.3,8.6,0,0.44
,309,102,3,2.9,3.2,8.61,0,0.59
,318,104,3,3.4,3.7,9.24,1,0.72
,305,98,1,2.0,2.3,8.5,1,0.51
,332,110,5,4.4,4.7,9.83,1,0.85
,313,101,2,2.7,3.3,8.84,1,0.64
,303,96,1,1.5,2.1,8.36,1,0.46
,301,101,3,3.3,3.1,8.96,0,0.48
,298,99,2,3.2,3.0,8.98,0,0.43
,306,103,3,3.6,3.5,9.24,0,0.55
,314,104,3,3.2,3.7,9.04,0,0.66
,321,107,4,3.9,4.2,9.47,1,0.74
,311,98,2,2.2,3.1,8.98,1,0.59
,306,100,2,2.2,2.5,8.42,0,0.54
,296,101,4,4.5,4.1,9.66,0,0.4
,299,102,4,4.1,3.8,9.44,0,0.44
,306,104,3,3.6,3.4,9.07,0,0.54
,316,104,3,3.0,3.5,9.0,1,0.68
,308,103,3,3.2,3.4,9.03,0,0.57
,298,96,1,1.5,1.6,7.81,0,0.43
,304,98,1,1.8,2.2,8.18,1,0.51
,297,98,2,2.6,2.7,8.68,0,0.42
,317,102,3,2.8,3.9,9.41,1,0.67
,321,106,3,3.4,3.8,9.21,1,0.72
,301,102,3,3.8,3.6,9.23,0,0.49
,312,104,3,3.5,3.6,9.03,0,0.64
,306,102,2,3.1,3.2,8.74,0,0.55
,300,101,3,3.5,3.4,9.07,0,0.47
,322,106,4,3.8,4.2,9.46,1,0.78
,313,99,2,2.5,3.6,9.26,1,0.59
,304,98,1,1.7,2.1,8.03,1,0.49
,307,98,1,1.9,2.6,8.51,1,0.53
,332,107,5,4.3,4.8,9.88,1,0.84
,298,97,2,2.1,2.1,8.32,0,0.43
,303,101,3,3.3,3.1,8.82,0,0.5
,307,104,3,3.5,3.4,8.94,0,0.56
,311,103,3,3.0,3.2,8.74,1,0.63
,337,111,5,4.8,4.9,9.91,1,0.93
,306,99,2,2.0,2.5,8.31,1,0.54
,314,99,2,2.6,3.5,9.45,1,0.6
,326,105,4,3.9,4.5,9.72,1,0.82
,323,104,3,3.3,4.1,9.62,1,0.73
,309,102,2,3.0,3.1,8.7,0,0.61
,324,107,4,4.2,4.3,9.59,1,0.8
,322,107,4,4.1,4.2,9.48,1,0.78
,314,102,3,2.9,3.4,8.9,1,0.66
,340,117,5,5.0,5.0,9.92,1,0.96
,328,109,4,4.1,4.4,9.69,1,0.84
,307,98,1,2.0,2.5,8.36,1,0.55
,315,101,2,2.5,3.6,9.26,1,0.58
,319,102,3,2.9,3.8,9.32,1,0.68
,311,103,3,3.0,3.3,8.79,0,0.62
,324,106,4,3.8,4.2,9.58,1,0.78
,307,99,2,2.3,2.6,8.4,1,0.56
,315,102,2,2.6,3.3,8.86,1,0.64
,316,103,3,3.0,3.6,9.19,1,0.66
,330,110,5,4.5,4.7,9.81,1,0.85
,303,105,4,4.5,4.4,9.56,0,0.51
,300,99,2,2.6,2.8,8.67,0,0.45
,321,100,3,2.8,4.2,9.7,1,0.66
,292,94,1,2.1,1.8,8.78,0,0.35
,301,98,2,2.0,2.4,8.49,0,0.47
,299,98,2,2.7,2.7,8.67,0,0.44
,320,104,3,3.4,4.1,9.49,1,0.69
,330,107,4,4.2,4.6,9.8,1,0.83
,303,102,3,3.5,3.5,8.92,0,0.53
,304,96,1,1.7,2.4,8.58,1,0.49
,320,104,4,3.5,4.0,9.37,1,0.73
,298,96,1,1.6,1.8,7.99,0,0.43
,295,95,1,1.6,1.7,8.04,0,0.39
,307,99,2,2.1,2.4,8.4,1,0.55
,313,101,3,2.7,3.6,8.99,1,0.62
,297,105,4,4.7,4.5,9.79,0,0.41
,306,99,2,2.0,2.5,8.29,1,0.55
,299,103,4,4.3,4.1,9.57,0,0.44
,310,102,2,2.8,3.1,8.56,0,0.6
,313,103,3,2.9,3.3,8.7,1,0.63
,301,103,4,4.1,3.9,9.46,0,0.46
,320,102,3,3.3,4.1,9.58,1,0.68
,304,105,4,4.3,4.2,9.48,0,0.53
,297,103,4,4.6,4.2,9.72,0,0.41
,328,108,4,4.1,4.5,9.72,1,0.82
,304,98,2,2.1,2.4,8.14,1,0.51
,321,103,3,3.2,3.7,9.53,1,0.71
,311,103,3,2.8,3.2,8.71,1,0.61
,307,104,3,3.7,3.6,9.11,0,0.57
,317,106,3,3.5,3.8,9.08,1,0.69
,298,98,2,2.3,2.3,8.48,0,0.45
,295,97,2,3.0,2.7,9.05,0,0.39
,322,102,3,3.0,4.0,9.65,1,0.69
,302,101,3,3.2,3.2,9.01,0,0.48
,314,102,2,2.6,3.1,8.78,1,0.63
,319,103,3,3.5,3.7,9.48,1,0.69
,328,108,4,4.2,4.5,9.78,1,0.83
,309,107,4,4.2,4.3,9.34,0,0.59
,310,99,2,2.1,2.7,8.77,1,0.54
,306,99,2,2.3,2.7,8.4,1,0.56
,313,99,2,2.5,3.4,9.09,1,0.61
,319,103,3,3.2,3.9,9.4,1,0.7
,326,106,4,3.8,4.4,9.69,1,0.8
,302,100,2,2.7,2.9,8.81,0,0.48
,313,101,2,2.8,3.2,9.03,1,0.62
,307,99,2,2.0,2.7,8.4,1,0.55
,314,102,2,2.7,3.4,9.0,1,0.64
,317,107,3,3.6,4.0,9.21,1,0.68
,318,102,3,3.1,3.6,9.17,1,0.7
,324,103,3,3.7,4.2,9.7,1,0.71
,309,101,2,2.5,2.9,8.53,1,0.59
,296,96,1,1.9,2.1,8.5,0,0.41
,312,101,2,2.5,3.0,8.82,1,0.61
,302,102,3,3.8,3.8,9.31,0,0.5
,325,107,4,4.0,4.2,9.58,1,0.79
,313,104,3,3.1,3.5,8.96,0,0.62
,301,100,2,2.9,2.9,8.85,0,0.48
,302,101,2,3.1,3.0,8.82,0,0.5
,299,96,1,1.6,1.8,8.03,0,0.44
,328,108,4,3.9,4.4,9.69,1,0.83
,324,107,4,3.7,4.2,9.55,1,0.79
,295,95,1,1.7,1.7,8.06,0,0.39
,314,102,3,2.7,3.4,8.92,1,0.64
,316,103,3,2.9,3.3,8.84,1,0.68
,326,107,4,4.1,4.5,9.7,1,0.8
,324,105,4,3.6,4.4,9.66,1,0.77
,295,97,2,2.9,2.6,8.97,0,0.39
,305,102,3,3.3,3.3,8.94,0,0.56
,324,104,3,3.4,4.2,9.63,1,0.73
,325,106,4,3.8,4.3,9.63,1,0.8
,297,97,2,2.2,2.2,8.32,0,0.43
,295,97,2,2.8,2.6,8.85,0,0.39
,297,97,1,2.0,2.0,8.29,0,0.42
,331,110,5,4.5,4.7,9.83,1,0.88
,315,106,3,3.8,4.0,9.23,1,0.68
,297,102,3,4.2,3.8,9.54,0,0.42
,308,104,3,3.6,3.7,9.12,0,0.58
,339,115,5,4.9,5.0,9.92,1,0.96
,330,110,4,4.4,4.6,9.82,1,0.82
,312,101,2,2.6,3.2,8.7,1,0.61
,309,99,2,2.2,2.9,8.59,1,0.59
,333,109,5,4.6,4.8,9.87,1,0.89
,308,103,3,3.2,3.3,8.76,0,0.58
,299,96,1,1.8,2.0,8.03,0,0.44
,292,98,3,4.2,3.7,9.7,0,0.36
,303,102,3,3.5,3.6,9.07,0,0.53
,322,105,4,3.5,4.1,9.46,1,0.77
,332,110,5,4.5,4.6,9.84,1,0.87
,296,98,2,3.1,3.0,9.02,0,0.41
,317,103,3,3.1,3.6,9.1,1,0.68
,309,99,2,2.2,2.8,8.51,1,0.58
,302,102,3,3.6,3.6,9.26,0,0.47
,303,101,3,3.3,3.4,9.11,0,0.49
,309,102,2,2.8,3.2,8.63,1,0.6
,327,102,3,3.8,4.5,9.83,1,0.79
,302,100,2,3.0,3.1,8.9,0,0.49
,302,103,3,3.8,3.6,9.11,0,0.51
,324,107,4,3.9,4.2,9.58,1,0.76
,305,107,4,4.6,4.5,9.63,0,0.52
,303,98,2,2.0,2.4,8.22,0,0.49
,321,105,4,3.5,4.1,9.47,1,0.77
,298,107,4,4.8,4.6,9.8,0,0.43
,307,102,3,3.5,3.7,9.16,0,0.56
,307,98,2,1.9,2.7,8.47,1,0.55
,300,101,3,3.6,3.4,9.14,0,0.46
,313,112,5,4.8,4.7,9.69,0,0.64
,312,102,3,3.0,3.0,9.04,1,0.63
,297,97,2,2.1,2.0,8.4,0,0.42
,332,108,5,4.5,4.8,9.88,1,0.86
,302,101,3,3.4,3.5,9.11,0,0.5
,314,102,2,2.7,3.2,8.95,1,0.62
,292,94,1,1.7,1.6,8.35,0,0.36
,324,107,4,4.1,4.2,9.57,1,0.78
,305,102,3,3.2,3.1,8.82,0,0.52
,308,100,2,2.3,2.6,8.36,1,0.56
,322,102,3,3.3,4.2,9.64,1,0.74
,333,110,5,4.7,4.8,9.88,1,0.9
,301,105,4,4.5,4.1,9.52,0,0.5
,301,97,1,1.9,2.0,8.1,0,0.47
,322,108,4,4.0,4.4,9.51,1,0.78
,322,102,3,3.1,4.1,9.62,1,0.72
,297,96,1,1.6,1.9,7.91,0,0.43
,301,100,2,2.9,3.0,8.79,0,0.48
,300,101,3,3.3,3.1,8.95,0,0.47
,320,103,3,3.2,3.9,9.39,1,0.7
,311,110,4,4.6,4.6,9.63,0,0.63
,293,94,1,1.5,1.6,7.95,0,0.37
,303,100,2,2.7,2.8,8.46,0,0.52
,315,102,2,2.7,3.3,8.95,1,0.65
,312,106,4,4.0,4.0,9.23,0,0.67
,302,102,3,3.4,3.3,9.0,0,0.49
,306,101,2,2.6,3.0,8.78,0,0.52
,307,98,2,2.0,2.5,8.61,1,0.52
,325,106,4,3.7,4.2,9.54,1,0.77
,295,96,1,2.2,2.1,8.46,0,0.4
,311,101,2,2.7,3.3,8.71,1,0.6
,317,103,3,3.3,3.9,9.42,1,0.69
,310,102,2,2.6,3.0,8.43,1,0.6
,305,99,2,2.1,2.4,8.19,1,0.53
,306,103,3,3.7,3.6,9.14,0,0.54
,319,104,3,3.2,3.8,9.09,1,0.72
,317,107,4,4.0,4.1,9.42,0,0.7
,329,106,4,4.0,4.6,9.81,1,0.83
,320,105,4,3.4,4.0,9.38,1,0.73
,299,102,4,4.1,3.8,9.45,0,0.44
,307,101,2,2.7,2.8,8.55,0,0.56
,312,101,2,2.7,3.2,8.91,1,0.62
,299,97,1,1.8,2.0,8.09,0,0.45
,324,105,4,3.6,4.4,9.68,1,0.77
,312,101,2,2.5,3.0,8.69,1,0.61
,301,100,2,2.8,2.9,8.66,0,0.49
,295,96,1,1.9,1.9,8.16,0,0.4
,294,98,2,3.6,3.1,9.37,0,0.38
,294,95,1,2.4,2.1,8.85,0,0.38
,323,105,3,3.7,4.0,9.47,1,0.74
,299,108,4,4.8,4.7,9.83,0,0.43
,318,105,3,3.1,3.6,9.02,1,0.69
,309,103,3,3.3,3.4,8.87,0,0.59
,316,104,3,3.2,3.6,9.09,1,0.66
,315,103,3,3.1,3.5,9.08,1,0.66
,311,105,3,3.6,3.7,9.05,0,0.64
,301,109,5,4.8,4.7,9.79,0,0.48
,297,99,2,3.3,3.1,9.18,0,0.41
,306,101,3,3.1,3.2,8.71,0,0.56
,304,102,3,3.1,3.0,8.81,0,0.51
,299,102,3,4.1,3.7,9.45,0,0.44
,307,99,2,2.1,2.4,8.57,1,0.53
,328,108,4,4.2,4.6,9.76,1,0.82
,298,99,2,3.0,2.8,8.71,0,0.44
,308,103,3,3.3,3.3,8.68,0,0.59
,307,97,2,1.9,2.6,8.58,1,0.52
,303,102,3,3.6,3.5,9.01,0,0.52
,296,97,2,2.4,2.3,8.71,0,0.4
,314,100,2,2.6,3.3,9.17,1,0.64
,300,100,2,2.8,2.9,8.74,0,0.47
,330,102,4,4.0,4.7,9.88,1,0.81
,309,104,3,3.3,3.3,8.76,0,0.59
,320,106,4,3.8,3.9,9.31,1,0.75
,310,103,3,3.0,3.3,8.84,1,0.61
,337,112,5,4.8,4.9,9.91,1,0.93
,312,101,3,2.9,3.6,9.02,1,0.64
,325,105,4,3.6,4.1,9.52,1,0.77
,297,100,3,3.9,3.6,9.41,0,0.41
,296,99,2,3.3,2.9,9.17,0,0.4
,314,100,2,2.7,3.4,9.34,1,0.63
,319,106,4,3.7,4.0,9.27,1,0.73
,305,99,2,2.1,2.5,8.24,0,0.51
,306,106,4,4.3,4.2,9.52,0,0.55
,313,100,2,2.4,3.2,8.95,1,0.61
,303,102,3,3.7,3.7,9.23,0,0.51
,326,107,4,3.9,4.3,9.63,1,0.81
,312,104,3,3.5,3.5,8.91,0,0.65
,307,101,2,2.6,3.1,8.65,0,0.56
,324,107,4,3.8,3.9,9.43,1,0.77
,298,98,2,2.4,2.4,8.53,0,0.44
,305,106,4,4.3,4.1,9.37,0,0.55
,316,104,3,3.1,3.6,8.96,1,0.67
,302,99,2,2.4,2.7,8.45,0,0.5
,308,99,2,2.0,2.5,8.43,1,0.55
,327,109,4,4.1,4.3,9.55,1,0.83
,294,94,1,1.3,1.4,7.69,0,0.38
,311,103,3,3.2,3.5,9.04,0,0.6
,303,102,3,3.5,3.4,9.12,0,0.49
,304,103,3,3.8,3.7,9.21,0,0.52
,320,106,4,3.5,4.0,9.41,1,0.73
,297,97,2,2.3,2.2,8.45,0,0.43
,311,100,2,2.6,3.0,8.85,1,0.62
,316,102,3,3.0,3.5,9.29,1,0.67
,314,102,3,2.7,3.4,8.88,1,0.63
,308,106,4,3.9,3.8,9.15,0,0.58
,317,103,3,3.2,3.8,9.24,1,0.7
,315,102,3,2.9,3.5,9.14,1,0.66
,331,106,4,4.2,4.7,9.86,1,0.83
,308,104,3,3.4,3.5,8.93,0,0.58
,307,99,2,2.3,2.8,8.62,1,0.55
,301,98,1,2.0,2.2,8.37,0,0.47
,307,103,3,3.3,3.5,9.04,0,0.55
,324,104,3,3.5,4.2,9.67,1,0.74
,294,96,2,2.6,2.3,8.82,0,0.39
,319,103,3,3.1,3.8,9.27,1,0.69
,318,104,3,3.4,3.7,9.06,1,0.7
,298,101,3,3.9,3.5,9.35,0,0.43
,317,108,4,4.2,4.2,9.52,0,0.72
,324,109,4,4.1,4.3,9.51,1,0.81
,296,100,3,4.0,3.6,9.47,0,0.4
,312,101,2,2.9,3.3,9.02,1,0.62
,311,103,2,2.7,3.2,8.68,1,0.63
,315,100,3,3.0,3.9,9.36,1,0.63
,328,106,4,4.2,4.4,9.78,1,0.8
,308,101,2,2.9,3.2,8.82,1,0.57
,317,100,2,2.4,3.4,9.29,1,0.62
,293,94,1,1.8,1.7,8.34,0,0.37
,297,110,5,5.0,4.9,9.89,0,0.4
,304,98,2,2.1,2.3,8.18,0,0.52
,318,103,3,3.2,3.8,9.42,1,0.69
,296,96,1,1.7,1.8,8.01,0,0.41
,311,102,2,2.8,3.0,8.74,1,0.61
,321,106,4,3.6,4.1,9.36,1,0.76
,320,104,3,3.2,3.8,9.37,1,0.71
,330,109,5,4.4,4.6,9.77,1,0.86
,300,99,2,2.6,2.6,8.65,0,0.47
,307,101,2,2.8,2.9,8.56,1,0.58
,309,102,3,3.1,3.3,8.91,0,0.6
,322,105,4,3.5,4.0,9.44,1,0.73
,306,103,3,3.2,3.3,8.86,0,0.57
,310,102,2,2.7,3.0,8.58,1,0.59
,309,102,2,2.9,3.1,8.71,1,0.58
,298,98,2,2.4,2.4,8.5,0,0.44
,306,105,4,4.2,4.1,9.53,0,0.55
,305,99,2,1.9,2.4,8.13,1,0.53
,315,102,2,2.7,3.2,8.92,1,0.67
,308,104,4,3.8,4.1,9.29,0,0.59
,313,102,3,3.3,3.9,9.16,1,0.65
,311,104,3,3.4,3.5,8.9,0,0.6
,300,99,2,2.8,2.8,8.71,0,0.47
,319,104,3,3.4,3.8,9.37,1,0.73
,306,106,4,4.3,4.2,9.51,0,0.55
,313,100,2,2.4,3.4,9.05,1,0.61
,297,99,2,3.2,2.9,9.06,0,0.42
,300,97,1,2.0,2.1,8.03,0,0.47
,302,98,2,2.0,2.4,8.39,1,0.49
,332,109,5,4.5,4.7,9.85,1,0.88
,326,103,4,3.8,4.6,9.82,1,0.77
,296,99,3,3.6,3.2,9.31,0,0.4
,300,96,1,1.7,1.9,8.11,1,0.47
,331,109,5,4.5,4.7,9.83,1,0.86
,314,106,3,3.6,3.7,8.96,0,0.67
,336,107,5,4.6,4.9,9.91,1,0.91
,325,105,4,3.7,4.3,9.71,1,0.76
,315,102,2,2.7,3.5,9.04,1,0.65
,301,99,2,2.5,2.6,8.51,0,0.47
,298,99,2,3.2,2.9,8.96,0,0.44
,304,103,3,3.6,3.5,9.11,0,0.52
,321,107,4,3.7,4.1,9.35,1,0.75
,299,104,4,4.5,4.2,9.64,0,0.45
,302,98,2,2.1,2.5,8.25,0,0.49
,294,99,3,4.0,3.5,9.5,0,0.39
,319,103,3,3.2,3.9,9.38,1,0.7
,296,100,3,4.0,3.7,9.47,0,0.42
,308,101,2,2.4,2.9,8.4,1,0.58
,305,103,3,3.5,3.7,9.04,0,0.55
,306,103,3,3.4,3.4,8.88,0,0.55
,317,101,3,2.8,3.9,9.29,1,0.67
,303,98,1,2.0,2.2,8.34,1,0.5
,319,102,3,3.2,3.9,9.55,1,0.69
,293,97,2,3.5,3.0,9.28,0,0.38
,318,101,2,3.0,4.0,9.47,1,0.66
,292,99,3,4.6,4.1,9.81,0,0.36
,305,99,2,2.4,2.7,8.35,1,0.55
,300,102,3,3.7,3.5,9.19,0,0.47
,304,98,1,1.8,2.1,8.04,1,0.51
,337,112,5,4.8,4.9,9.91,1,0.92
,334,108,5,4.5,4.8,9.89,1,0.88
,305,103,3,3.7,3.6,9.17,0,0.53
,306,103,3,3.3,3.4,8.8,0,0.56
,302,102,3,3.9,3.7,9.22,0,0.49
,301,99,2,2.6,3.0,8.81,0,0.46
,300,102,3,4.1,3.8,9.44,0,0.46
,321,104,4,3.3,4.0,9.44,1,0.75
,328,104,4,3.7,4.5,9.82,1,0.79
,333,108,5,4.4,4.8,9.87,1,0.87
,300,97,1,1.7,2.0,7.99,0,0.46
,303,101,3,3.1,3.0,8.8,0,0.51
,327,105,4,4.0,4.5,9.76,1,0.8
,305,103,3,3.5,3.4,9.01,0,0.54
,300,98,2,2.3,2.5,8.35,0,0.47
,301,102,3,3.7,3.4,9.1,0,0.48
,329,108,5,4.4,4.6,9.82,1,0.84
,302,103,3,3.9,3.7,9.35,0,0.49
,320,107,4,3.9,3.9,9.32,1,0.76
,302,97,1,1.8,2.2,8.1,1,0.5
,326,107,4,3.9,4.4,9.67,1,0.78
,303,105,4,4.3,4.0,9.38,0,0.53
,309,98,2,2.0,3.0,8.83,1,0.54
,297,109,5,5.0,4.9,9.89,0,0.4
,304,115,5,5.0,5.0,9.9,0,0.5
,320,103,3,3.3,3.9,9.52,1,0.72
,318,104,3,3.0,3.6,9.18,1,0.69
,313,109,4,4.4,4.4,9.48,0,0.65
,318,103,3,3.2,3.7,9.27,1,0.69
,297,98,2,3.0,3.0,9.02,0,0.42
,293,95,1,2.7,2.3,8.96,0,0.37
,317,104,3,3.3,3.6,9.11,1,0.69
,307,102,3,3.1,3.2,8.8,0,0.58
,307,100,2,2.4,2.7,8.51,1,0.56
,313,102,2,2.8,3.1,8.75,1,0.63
,334,113,5,4.7,4.7,9.85,1,0.9
,313,103,3,3.0,3.3,8.7,1,0.65
,311,107,3,4.0,4.0,9.29,0,0.63
,300,104,4,4.4,4.3,9.55,0,0.48
,313,104,3,3.3,3.7,8.96,1,0.64
,311,105,4,3.8,3.9,9.13,0,0.62
,312,104,3,3.4,3.7,8.88,0,0.65
,320,102,3,3.1,3.9,9.5,1,0.68
,308,101,2,2.7,3.0,8.57,0,0.6
,332,110,5,4.4,4.8,9.84,1,0.88
,303,96,1,1.5,2.2,8.33,1,0.48
,308,101,2,2.5,2.8,8.47,0,0.58
,301,102,3,4.0,3.8,9.27,0,0.48
,304,102,3,3.6,3.6,8.99,0,0.53
,298,100,3,3.5,3.1,9.11,0,0.43
